Station Name,Measurement Timestamp,Air Temperature
Oak Street Weather Station,01/05/2016 06:00:00 PM,1.2
63rd Street Weather Station,01/05/2016 06:00:00 PM,0.7
63rd Street Weather Station,01/05/2016 07:00:00 PM,0.2
Foster Weather Station,01/05/2016 07:00:00 PM,0.0
63rd Street Weather Station,01/05/2016 08:00:00 PM,-0.4
Foster Weather Station,01/05/2016 08:00:00 PM,-0.28
63rd Street Weather Station,01/05/2016 09:00:00 PM,-0.7
Foster Weather Station,01/05/2016 09:00:00 PM,-0.39
63rd Street Weather Station,01/05/2016 10:00:00 PM,-1.0
Oak Street Weather Station,01/05/2016 10:00:00 PM,0.3
Foster Weather Station,01/05/2016 10:00:00 PM,-0.78
Oak Street Weather Station,01/05/2016 11:00:00 PM,-0.1
Foster Weather Station,01/05/2016 11:00:00 PM,-1.28
63rd Street Weather Station,01/05/2016 11:00:00 PM,-1.5
63rd Street Weather Station,01/06/2016 12:00:00 AM,-1.8
Foster Weather Station,01/06/2016 12:00:00 AM,-1.67
Oak Street Weather Station,01/06/2016 01:00:00 AM,0.0
Foster Weather Station,01/06/2016 01:00:00 AM,-1.78
63rd Street Weather Station,01/06/2016 01:00:00 AM,-2.0
63rd Street Weather Station,01/06/2016 02:00:00 AM,-2.3
Oak Street Weather Station,01/06/2016 02:00:00 AM,-0.1
Foster Weather Station,01/06/2016 02:00:00 AM,-2.0
Oak Street Weather Station,01/06/2016 03:00:00 AM,-0.3
Foster Weather Station,01/06/2016 03:00:00 AM,-2.17
63rd Street Weather Station,01/06/2016 03:00:00 AM,-2.4
63rd Street Weather Station,01/06/2016 04:00:00 AM,-2.4
Oak Street Weather Station,01/06/2016 04:00:00 AM,-0.3
Foster Weather Station,01/06/2016 04:00:00 AM,-2.5
63rd Street Weather Station,01/06/2016 05:00:00 AM,-2.5
Oak Street Weather Station,01/06/2016 05:00:00 AM,-0.5
Foster Weather Station,01/06/2016 05:00:00 AM,-2.67
Oak Street Weather Station,01/06/2016 06:00:00 AM,-0.5
Foster Weather Station,01/06/2016 06:00:00 AM,-2.78
63rd Street Weather Station,01/06/2016 06:00:00 AM,-2.8
Oak Street Weather Station,01/06/2016 07:00:00 AM,-0.1
Foster Weather Station,01/06/2016 07:00:00 AM,-2.78
63rd Street Weather Station,01/06/2016 07:00:00 AM,-3.0
Foster Weather Station,01/06/2016 08:00:00 AM,-2.56
63rd Street Weather Station,01/06/2016 08:00:00 AM,-2.5
63rd Street Weather Station,01/06/2016 09:00:00 AM,-1.6
Oak Street Weather Station,01/06/2016 09:00:00 AM,0.4
63rd Street Weather Station,01/06/2016 10:00:00 AM,0.1
Oak Street Weather Station,01/06/2016 10:00:00 AM,1.3
Foster Weather Station,01/06/2016 10:00:00 AM,-0.17
Oak Street Weather Station,01/06/2016 11:00:00 AM,1.9
Foster Weather Station,01/06/2016 11:00:00 AM,1.0
